OBJECTID,Id,Line,MINORITY_L,PERCENT_MI,PEAK_SERVI,OFF_PEAK_S,PSGRS,TRIPS,LABEL,LENGTH,Shape_len
1,1,Airport,32560.98705000,0.64709000,30,60,6073.00000000,77.00000000,"Airport - 6,073 Psgrs - 77 Trips",9.53010000,49670.34236260000
2,2,Newark,43650.85287000,0.20070000,30,60,9856.00000000,55.00000000,"Newark - 9,856 Psgrs - 55 Trips",41.19076000,204029.60214500001
3,3,Warminster,58087.68743000,0.49496000,30,60,8139.00000000,43.00000000,"Warminster - 8,139 Psgrs - 43 Trips",22.22658000,115662.93323600000
4,4,Elwyn,30124.08086000,0.37328000,30,60,10555.00000000,54.00000000,"Elwyn - 10,555 Psgrs - 54 Trips",15.28424000,80015.73001850001
5,5,West Trenton,49019.89922000,0.27449000,30,60,11851.00000000,53.00000000,"West Trenton - 11,851 Psgrs - 53 Trips",33.82277000,179738.87622100001
6,6,Doylestown,49019.89922000,0.26014000,30,60,16285.00000000,63.00000000,"Doylestown - 16,285 Psgrs - 63 Trips",35.68853000,189301.07899000001
7,7,Thorndale,20007.60167000,0.10716000,30,60,22270.00000000,84.00000000,"Thorndale - 22,270 Psgrs - 84 Trips",35.36099000,186250.22881800000
8,8,Cynwyd,18877.55060000,0.57632000,30,60,606.00000000,21.00000000,Cynwyd - 606 Psgrs - 21 Trips,6.20356000,32330.64050250000
9,9,Norristown,40881.47660000,0.39741000,30,60,10370.00000000,51.00000000,"Norristown - 10,370 Psgrs - 51 Trips",19.48239000,103941.48328400000
10,11,Trenton,60538.65844000,0.34500000,30,60,11048.00000000,61.00000000,"Trenton - 11,048 Psgrs - 61 Trips",33.23326000,176117.47576100001
11,12,Chestnut Hill West,39727.63532000,0.62984000,30,60,5596.00000000,50.00000000,"Chestnut Hill West - 5,596 Psgrs - 50 Trips",11.94607000,62418.33477270000
12,13,Fox Chase,50124.19331000,0.76049000,30,60,4788.00000000,45.00000000,"Fox Chase - 4,788 Psgrs - 45 Trips",12.48289000,66454.44059410000
13,10,Chestnut Hill East,55043.08331000,0.86820000,30,60,5770.00000000,48.00000000,"Chestnut Hill East - 5,770 Psgrs - 48 Trips",12.00726000,64557.06811170000
